,name,score,loc,scale,arg,params,model,bootstrap_score,bootstrap_pass,color
0,gamma,71.33170823896945,0.019999999999999997,13.361670151117071,"(0.5539449359323414,)","(0.5539449359323414, 0.019999999999999997, 13.361670151117071)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x000002BD05987940>,0,,#e41a1c
1,pareto,73.8388209582213,-3.467332100631891,3.4873321006318907,"(1.1017904321974759,)","(1.1017904321974759, -3.467332100631891, 3.4873321006318907)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x000002BD05986DD0>,0,,#e41a1c
2,genextreme,74.64098870056964,1.4859447375100503,2.3239542839326974,"(-1.3310932293766702,)","(-1.3310932293766702, 1.4859447375100503, 2.3239542839326974)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x000002BD059855D0>,0,,#377eb8
3,dweibull,77.11016827020605,1.1000000000000005,7.070721432975777,"(0.6089793035072224,)","(0.6089793035072224, 1.1000000000000005, 7.070721432975777)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x000002BD059862F0>,0,,#4daf4a
4,t,78.09173653144836,1.287723221584328,1.4561949056040602,"(0.6198584990308729,)","(0.6198584990308729, 1.287723221584328, 1.4561949056040602)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x000002BD059864D0>,0,,#984ea3
5,expon,80.85160963955082,0.02,9.185593220338985,(),"(0.02, 9.185593220338985)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x000002BD05985480>,0,,#ff7f00
6,norm,89.47659169512342,9.205593220338985,13.01999899387984,(),"(9.205593220338985, 13.01999899387984)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x000002BD71A53E50>,0,,#ffff33
7,loggamma,89.54622156417547,-4512.65711085982,596.5767672216411,"(1958.2781450435873,)","(1958.2781450435873, -4512.65711085982, 596.5767672216411)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x000002BD05987CD0>,0,,#a65628
8,uniform,91.34915156966089,0.02,50.9,(),"(0.02, 50.9)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x000002BD05985450>,0,,#f781bf
9,beta,95.00223489508501,0.019999999999999997,58.10221994488198,"(0.31677908120710674, 1.3462397931728232)","(0.31677908120710674, 1.3462397931728232, 0.019999999999999997, 58.10221994488198)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x000002BD05987C10>,0,,#999999
10,lognorm,284.7842683681794,0.019999999999999997,0.5659930582025435,"(8.496459953437988,)","(8.496459953437988, 0.019999999999999997, 0.5659930582025435)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x000002BD05987040>,0,,#999999
